출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
96,7.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,1,50.0,0,0.0,2,7,2,10,5,0,1,1,0,0,55,82.0,0,8,100.0,0,0,10,71.4,3,60.0,15,79.0,37,86.0,21,72.4,25,89.3,9,90.0,0,0.0,0,0,0,0,1,1,6,최영준
96,6.6,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,1,1,50.0,1,50.0,1,25.0,3,2,1,8,5,1,0,0,0,0,42,84.0,0,11,68.8,0,0,4,80.0,4,80.0,9,75.0,29,87.9,11,73.3,15,83.3,16,94.1,1,50.0,0,0,0,0,1,0,95,김문환
96,6.6,0,0,1,0,0,1,0,1,0,0,0,1,0,0.0,1,2,100.0,0,0.0,1,33.3,1,2,1,2,3,0,2,0,0,0,43,80.0,0,9,64.3,0,0,4,100.0,1,25.0,14,100.0,28,77.8,11,52.4,21,100.0,11,91.7,0,0.0,0,0,0,0,1,0,97,김진규
94,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,33.3,0,0.0,0,0.0,0,4,6,8,2,0,2,2,0,0,13,72.0,1,3,100.0,0,0,2,33.3,3,75.0,5,100.0,5,55.6,11,68.8,2,100.0,0,0.0,0,0.0,1,0,0,0,1,1,26,이진용
65,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3,100.0,1,25.0,3,0,0,9,1,1,1,0,1,0,14,78.0,0,4,66.7,0,0,2,100.0,0,0.0,4,100.0,10,83.3,6,66.7,4,80.0,4,100.0,0,0.0,2,0,0,0,1,0,17,서진수
95,7.4,0,0,2,0,0,2,1,1,0,1,0,0,1,100.0,1,2,100.0,2,40.0,0,0.0,2,7,2,7,3,0,1,1,0,0,34,85.0,0,5,83.3,0,0,5,71.4,3,100.0,11,84.6,20,83.3,16,80.0,11,84.6,7,100.0,0,0.0,0,0,0,0,1,1,6,김동현
95,6.2,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0,0,2,40.0,2,100.0,2,33.3,1,3,3,4,2,2,0,1,1,0,49,78.0,1,14,87.5,0,0,5,55.6,4,36.4,16,76.2,29,93.6,12,50.0,21,91.3,16,100.0,3,60.0,1,0,0,0,1,0,25,이태희
95,6.6,0,0,1,0,0,1,0,1,0,5,1,0,0,0.0,0,0,0.0,1,50.0,0,0.0,0,3,1,16,2,1,0,2,0,0,79,81.0,1,15,88.2,0,0,4,100.0,10,47.6,28,93.3,41,89.1,29,64.4,35,97.2,15,93.8,1,100.0,2,0,0,0,1,0,10,라마스
94,7.2,0,1,2,0,0,2,1,1,0,0,0,0,0,0.0,1,0,0.0,5,71.4,1,50.0,1,1,1,6,3,1,1,0,0,0,50,89.0,1,6,85.7,0,0,14,82.4,2,50.0,20,95.2,28,90.3,13,76.5,23,95.8,14,93.3,0,0.0,0,0,0,0,1,1,29,류재문
53,6.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,100.0,0,0.0,2,50.0,1,0,1,4,0,0,2,1,0,0,11,73.0,2,2,66.7,0,0,0,0.0,1,100.0,2,40.0,8,88.9,3,50.0,2,100.0,6,85.7,1,33.3,1,0,0,0,1,0,12,강현묵
94,6.6,0,0,2,0,1,1,0,2,0,1,0,1,0,0.0,0,0,0.0,0,0.0,0,0.0,1,4,0,5,2,0,1,0,0,0,29,91.0,0,11,91.7,0,0,2,100.0,1,50.0,5,83.3,23,95.8,11,84.6,11,100.0,7,87.5,0,0.0,0,0,0,0,1,0,10,정승원
