출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
46,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,50.0,0,0.0,0,0.0,0,1,0,0,1,1,2,0,1,0,7,100.0,0,2,100.0,0,0,0,0.0,1,100.0,1,100.0,5,100.0,0,0.0,4,100.0,3,100.0,0,0.0,0,0,1,0,0,0,98,발샤
63,6.2,0,0,2,0,1,1,2,0,1,0,0,0,1,50.0,1,1,100.0,0,0.0,1,100.0,0,0,0,0,1,2,1,0,1,0,15,83.0,0,7,87.5,0,0,1,100.0,0,0.0,7,77.8,8,88.9,0,0.0,9,75.0,6,100.0,0,0.0,0,0,1,0,0,0,47,양현준
97,7.4,1,0,4,2,1,1,4,0,0,0,0,0,3,75.0,0,3,60.0,3,33.3,0,0.0,1,0,0,7,0,1,0,0,0,0,22,85.0,4,14,82.4,0,0,2,100.0,0,0.0,6,85.7,16,84.2,6,66.7,9,90.0,7,100.0,0,0.0,0,0,1,0,0,1,18,주민규
100,9.4,2,0,7,4,1,2,5,2,0,0,0,0,0,0.0,0,2,40.0,13,72.2,0,0.0,2,0,0,1,3,1,1,0,0,0,15,68.0,3,5,100.0,0,0,0,0.0,2,100.0,7,63.6,6,66.7,2,33.3,10,76.9,3,100.0,0,0.0,0,0,1,0,0,1,8,뮬리치
77,5.6,0,0,1,1,0,0,1,0,0,0,0,0,2,100.0,1,3,60.0,0,0.0,0,0.0,0,0,0,3,1,1,0,1,0,0,13,76.0,1,8,66.7,0,0,0,0.0,2,100.0,4,66.7,7,77.8,3,100.0,9,75.0,1,50.0,1,20.0,0,0,1,0,0,0,11,제르소
73,8.0,2,0,3,3,0,0,2,1,0,0,0,0,0,0.0,0,1,100.0,2,40.0,0,0.0,1,0,1,1,0,0,0,1,0,0,8,80.0,1,4,66.7,0,0,0,0.0,0,0.0,1,100.0,7,77.8,3,100.0,2,50.0,3,100.0,0,0.0,1,0,1,0,0,1,63,마틴 아담
56,6.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,1,1,1,0,1,0,1,0,0,10,71.0,0,0,0.0,0,0,2,66.7,0,0.0,5,83.3,5,62.5,2,66.7,4,57.1,4,100.0,0,0.0,2,0,1,0,0,0,19,김경민
67,7.8,0,2,2,1,0,1,2,0,0,0,0,0,1,33.3,1,3,100.0,5,71.4,0,0.0,2,0,4,1,0,0,1,1,0,0,10,71.0,2,2,66.7,0,0,1,100.0,2,100.0,4,100.0,4,50.0,3,100.0,7,63.6,0,0.0,0,0.0,0,0,1,0,0,1,19,제카
85,7.6,1,0,3,1,2,0,3,0,1,0,0,0,0,0.0,1,2,50.0,2,40.0,0,0.0,1,4,0,2,0,0,2,1,0,0,6,50.0,0,3,50.0,0,0,2,40.0,0,0.0,2,40.0,4,66.7,0,0.0,5,55.6,1,100.0,0,0.0,0,0,1,0,0,1,17,고재현
75,7.6,1,0,5,3,0,2,1,4,1,3,3,0,1,100.0,1,0,0.0,0,0.0,0,0.0,0,1,1,1,2,1,0,1,0,0,11,100.0,2,1,100.0,0,0,1,100.0,6,100.0,3,100.0,2,100.0,3,100.0,8,100.0,0,0.0,2,33.3,0,0,1,0,0,1,11,세징야
